Family Office,Metro Area,AUM,LinkedIn,Website,Notes,City,Description,Connections,Action Items:,Discussed
Kahn Family Partners,NYC,"$800,000,000.00 ",,https://N/A,,New York,Kahn Family Partners is a single family office for the Kahn Family.,,,
Fairfield-Maxwell Ltd.,NYC,"$750,000,000.00 ",,https://www.fairfield.com/,,New York,"Fairfield-Maxwell (“Fairfield”) is a third generation family-owned enterprise that successfully buys, builds, and grows companies spanning industries and geographies through long-term capital investments. The company was founded in 1957 and is headquartered in New York, New York. Fairfield partners with other family-owned businesses, entrepreneurs, business owners, and management teams to grow exceptional businesses. The company builds its diversified portfolio using a long-term approach to steadily grow earnings into the future. The Fairfield team provides the companies in its portfolio with professional management expertise, operational expertise, and a permanent capital base while management, with their industry expertise, continue to make the day-to-day operational decisions. As Fairfield moves into the future, we will continue to successfully grow value through our commitment to building great companies in partnership with business owners and managers.",,,
"Goelet, LLC",NYC,"$750,000,000.00 ",,https://n/a,,New York,"Goelet, LLC operates as an investment holding company with interests primarily in real estate services. Headquartered in New York, NY, the company, under the guidance of Chief Investment Officer Courtney Bass, involves itself in a variety of investment activities, particularly within the real estate sector​. The organization's approach to investments, especially within real estate, suggests a strategy that may involve the acquisition, development, management, and potentially the sale of real estate properties across different market segments.",,,
Talpion LLC,NYC,"$750,000,000.00 ",,https://www.talpion.com/,,New York,"Investment pioneer Henry Swieca founded Talpion in 2010 after building Highbridge Capital Management into one of the world's most successful alternative asset managers and ultimately selling it to JP Morgan. Talpion is a New York-based single family office focused on four asset classes: public securities, real estate, private equity, and venture capital. Talpion combines an institutional infrastructure with family values of patience, prudence and integrity. The name of the company derives from the Biblical word 'Talpiot', meaning a castle's turret, and is also the name of a highly elite intelligence unit of the IDF.",,,
Ocean Road Advisors,NYC,"$750,000,000.00 ",https://www.linkedin.com/company/ocean-road-advisors-meyer-and-co--llc/people/,http://oceanroadadvisors.com/,"Anthony Meyer, Chm, CEO of Meyer & Co-connected to James Fields, John Thornton, and Christian Anthony
Andrew Weinstein, VP, Dir of Invesments: connected to Cheryl Rogers of Focus Point (plcmt agent)",New York,"Ocean Road Advisors Inc. is a family office and investment management company founded in 2005 to oversee the family assets of Edward H. Meyer, the former longstanding Chairman, President and Chief Executive Officer of the Grey Global Group, one of the world's largest advertising, marketing, and communications companies, and those of his son, Anthony E. Meyer, a serial entrepreneur in the fields of real estate, healthcare and education. Ocean Road Advisors invests directly and indirectly in public and private markets across a range of strategies. The firm also oversees the activities of the family's philanthropic foundations.",2nd Tier Connections,"TC: Christian Anthony
",checked
166 2nd Financial Services,NYC,"$700,000,000.00 ",,https://N/A,,New York,"166 2nd is Adam & Rebekah Neumann's family office, investing in innovative real estate, fintech, proptech, crypto & healthtech businesses. Adam is the founder of WeWork.",,,
Peter Kimmelman Asset Management,NYC,"$639,539,000.00 ",https://www.linkedin.com/search/results/all/?keywords=Peter%20Kimmelman%20Asset%20Management&sid=bXV,https://n/a,,New York,"Peter Kimmelman Asset Management provides portfolio management for individuals and small businesses, portfolio management for pooled investment vehicles, portfolio management for businesses and institutional clients, selection of other advisers, and fund of hedge funds; fund of private equity funds.",Nada,,
Bronfman LLC,NYC,"$500,000,000.00 ",,,,New York,"Bronfman LLC is a family office based in New York City, known for its strategic approach to partnering with entrepreneur and family-owned businesses. The firm emphasizes creating value through growth equity investments and provides capital to accelerate business expansion while maintaining ongoing support. Established in 2013, Bronfman LLC leverages its deep industry expertise to drive superior results for its partners, focusing on collaborative growth rather than exerting control over the businesses it invests in.",,,
North Sixth Group,NYC,"$500,000,000.00 ",https://www.linkedin.com/company/north-6th-group/people/,https://northsixthgroup.com/,,New York,"North Sixth Group is a family office holding company based in New York with investments across a variety of sectors including marketing, real estate, technology, media and sports.",Nada,,
MUUS,NYC,"$500,000,000.00 ",,https://www.muus.com/,,Westport,"MUUS is a privately-held entrepreneurial investment company dedicated to driving decarbonization and positively impacting society through strategic investments. The firm operates with a mission to support, facilitate, and accelerate the transition to a more sustainable future. MUUS leverages its resources, skills, and extensive network to identify and invest in mission-driven opportunities that promise superior risk-adjusted returns. The company's activities extend beyond investments into the philanthropic, academic, cultural, and political spheres to promote a cleaner, safer, and healthier world.",,,
R&JW Management,NYC,"$500,000,000.00 ",https://www.linkedin.com/search/results/all/?keywords=R%26JW%20Management%20LLC&sid=Gi*,,,New York,"R&JW Management is a sophisticated single-family office dedicated to preserving and growing the wealth of a high-net-worth family through meticulous financial management and strategic investments. The firm provides a comprehensive suite of services, including asset management, estate planning, tax optimization, and philanthropic advisory, tailored to meet the unique needs of the family. R&JW Management operates with a long-term perspective, focusing on sustainability, risk management, and intergenerational wealth transfer. The firm’s holistic approach integrates financial goals with the family’s values and legacy aspirations, ensuring a cohesive strategy that spans generations.",Nada,,
Calyx Management,NYC,"$500,000,000.00 ",,https://calyxmanagement.com/,,New York,"Calyx Management is an advisory firm that specializes in identifying and managing risks at the company level, focusing on creating sustained profitable growth for small and mid-size private companies in the U.S. and Europe. Founded by an experienced private equity investor, the firm offers a range of services designed to enhance shareholder wealth and operational efficiency. Calyx Management’s approach integrates strategic planning with rigorous implementation to align corporate goals with operational realities, ensuring long-term success for its clients.",,,
Rai Family Office,NYC,"$500,000,000.00 ",https://www.linkedin.com/company/rai-family-office/people/,,,New York,"The Rai Family Office, located in New York, is a single-family office that specializes in managing and investing the wealth of a prominent family. Established in 2010, this family office is committed to creating significant social impact and humanitarian benefits through its investment strategies. It focuses on a blend of traditional financial management and innovative investment opportunities, aiming to foster long-term growth and sustainability for the family's assets.",2nd Tier Connections,,
GCAM Family Office,NYC,"$500,000,000.00 ",,,,New York,GCAM is a U.S. based family office focused on middle-market private equity & real estate opportunities.,,,
Welara,NYC,"$500,000,000.00 ",,https://www.welara.com/,,New York,"Welara is an independent, multi-family office and wealth advisory firm dedicated to delivering uncompromising excellence to first-generation wealth creators and their families globally.",,,
Horizon Family Office,NYC,"$500,000,000.00 ",,,,New York,"Horizon Family Office is an international Multi-family office based in New York City. The U.S. division service team is composing by a group of Wall Street elites and associated organizations including, financial planner, investment advisor, CFAs, CPAs, licensed trust attorneys, licensed attorneys, financial advisor, insurance planner and other expertise with their group. The service team in China is composing by CFPs, accountants, attorneys, training specialists and administrative consultant. Meanwhile, we also closely cooperated with numerous investment banks, saving banks, private banks, fund companies, accounting firms and law offices in US and China. The main goal of our firm is to bring the Wall Street Level Professionalism and Service to China. Provide comprehensive global financial investment planning and family affairs management service platform for high-net-worth individuals in China through expertise in various fields. We are adhering to the fundamental principles, to protect existing wealth, to ensure the fortune retain; arrange wealth inheritance, to ensure the fortune pass on; planning future wealth, to ensure the fortune become more. Provide customized financial investments.",,,
Stardust,NYC,"$500,000,000.00 ",,https://weareallstardust.com/,,New York,"Stardust is a family office founded by Molly Gochman, focusing on integrating philanthropy, art, advocacy, and investment capital to advance social change.",,,
"Hildred Capital Partners, LLC",NYC,"$500,000,000.00 ",,https://www.hildredpartners.com/,,New York,"Hildred Capital Partners, LLC is a family investment firm that manages investments in a broad range of securities, including equity and debt, across geographies and sectors, on both an active and passively managed basis.",Nada,,
Altitude Capital LLC,NYC,"$500,000,000.00 ",,https://www.altitudecapllc.com/,,New York,Altitude Capital focuses on investment opportunities in North American Healthcare businesses. We target profitable companies with leading market positions with positive secular trends.,,,
Seven East Capital,NYC,"$500,000,000.00 ",https://www.linkedin.com/company/seven-east-capital/people/,https://seveneastcapital.com/,,New York,"Previously known as Cord Grass Holdings. The account is the private equity vehicle of the Hartmann Family Office. Seven East is an NYC-based sponsor focused on facility services, commercial services, and industrial services in the United States",Nada,,
Crown Predator Holdings,NYC,"$500,000,000.00 ",https://www.linkedin.com/company/crown-predator-holdings/,http://crownpredator.com/,,New York,"Crown Predator Holdings (CPH) acts as the Lewin Family Office. Established in 2000, CPH invests across the public markets, as well as in Hedge Funds, Venture Capital Firms, and Private Equity. CPH has domain expertise across Healthcare, but invests across all industries. While CPH does participate as a minority investor in private transactions, its primary focus is in structuring and leading transactions as a way to generate alpha beyond its more traditional returns.",Nada,,
Culbro LLC,NYC,"$500,000,000.00 ",,http://www.culbro.com,,New York,"Culbro, LLC is the private equity investment effort of the Cullman and Bloomingdale families. It was formed to invest in growth companies with strong entrepreneurial management and founded post the sale of General Cigar, a company owned by the Cullman family for over 40 years. Culbro is not a fund and does not have a specific investment horizon. Its target equity investment range is $5 to $50 million with latitude to make both smaller and larger investments. It invests on both a control and minority basis. Although Culbro’s three co-founders have a background in consumer products, Culbro has invested in a wide range of industries. Culbro focuses geographically on North America and India.",,,
Adakin Capital,NYC,"$500,000,000.00 ",https://www.linkedin.com/company/adakin-capital/people/,http://www.adakincapital.com,,New York,Single-family investment office based in New York City and founded in 2008. Adakin Capital utilizes a value-based approach to invest opportunistically across asset categories.,Nada,,
SPK Advisors,NYC,"$500,000,000.00 ",https://www.linkedin.com/company/spkadvisors/,https://spkadvisors.com/,,New York,"SPK Advisors is the management company of a New York based family office. We invest across a broad spectrum of asset classes, looking to take a safe, disciplined approach towards building and maintaining multi-generational wealth for our principals. Areas of focus include: -Equity -Fixed Income -Private Equity -Venture Capital -Real Estate -Special Situations",2nd Tier Connections,,
"Samson Investment Partners, Inc.",NYC,"$500,000,000.00 ",https://www.linkedin.com/search/results/people/?keywords=samson%20investment%20partners&origin=CLUSTER_EXPANSION&sid=4HK,http://www.samsonip.com/index.html,,New York,"Samson Investment Partners was established in 2001 by Roy Zuckerberg following his retirement from Goldman, Sachs & Co. Samson is a value-driven family investment office with three principal areas of focus - public securities, real estate, and private equity. Its team has experience in real estate, capital markets, consulting, finance, and operations. Samson's approach combines its team's vast and deep knowledge, patience, and a permanent capital base with a hands-on, value-oriented investment philosophy. Its goal is to achieve long-term compounded growth of its portfolio through a focus on cash-flowing assets, partnerships with select management teams and operators, and diversification. Samson has helped create attractive investment returns for the firm and its partners through making over 80 investments from its offices in New York, New York and Dallas, Texas.",Nada,,
CAM Capital,NYC,"$500,000,000.00 ",,https://www.camcapital.com/,,New York,"CAM Capital is a single-family office based in New York City. We seek to achieve long-term compounded growth of our portfolio using a fundamentally-driven, opportunistic investment strategy. CAM Capital invests in both public and private markets, across the capital structure. Our investments include public and private equity, corporate credit, real estate, and global macro instruments. Our geographic focus is primarily in the Americas and Western Europe.",,,
Privos Capital,NYC,"$500,000,000.00 ",,https://www.privoscapital.com,,New York City,"Privos Capital is a private investment firm that partners with single family offices, multi-family offices, their funds, foundations, and portfolio companies, in developed, emerging, frontier, and standalone markets around the world. The firm works with its family office LP partners on a wide range of global expansion, strategic alliances, joint ventures, direct, and alternative investments.",,,
Kemnay Advisory Services,NYC,"$500,000,000.00 ",https://www.linkedin.com/company/kemnay-advisory-services-inc/people/,https://N/A,40+ connections with Chris Reilly	,New York,"Kemnay is a family office based in NYC that focuses on Alts. Chris Reilly is a good point of contact. They do not invest in public markets, Real Estate or Credit.",2nd Tier Connections,,
Brooklyn NY Holdings,NYC,"$500,000,000.00 ",https://www.linkedin.com/search/results/all/?keywords=Brooklyn%20NY%20Holdings%20LLC&sid=wDW,https://N/A,,New York,Single family office located in NYC that invests in a lot of private equity that includes both direct and co-investments.,Nada,,
Tiger 21,NYC,"$500,000,000.00 ",,https://tiger21.com,,New York,"TIGER 21 is a peer learning community that takes on topics that matter most to our Members. Fellow visionaries, entrepreneurs, investors, and executives from an array of industries comprise each Members' personal peer Group. Our network of Members effectively serve as legacy planning partners who help each other improve their investment acumen, tackle common issues of wealth preservation, manage family-related challenges, understand estate planning options, and share ideas on philanthropic endeavors. TIGER 21 was founded in 1999 by an entrepreneur seeking objective advice regarding the management of his wealth following a major liquidity event. Michael W. Sonnenfeldt started TIGER 21 with a single Group of six entrepreneurs in New York City who had all just sold their businesses and felt challenged as to how to wisely preserve their wealth. As TIGER 21 evolved, it became clear that issues of relevance, legacy, family, philanthropy, and what to do next weighed heavily on their minds. They found that sharing and learning from each other helped them to navigate the issues that accompanied their success. Managing $50B in aggregate investable assets, the members convene in their local communities to serve each other as a personal Board of Advisors. The goal is to help their peers improve their investment acumen and navigate common concerns regarding wealth preservation, estate planning, and the complexities of integrating wealth, family, and life.",,,
RWN Management,NYC,"$500,000,000.00 ",https://www.linkedin.com/search/results/all/?keywords=RWN%20Management%2C%20LLC&sid=_AD,https://rwnmgmt.com/,Bohannon connected. ,New York,"RWN Management, LLC ® is a single family office based in New York City. RWN provides a full suite of services, including investment management and tax and estate planning",1st Tier Connections,,
Lifschultz Organization,NYC,"$500,000,000.00 ",https://www.linkedin.com/in/david-lifschultz-98785b5a/,http://lifschultz.eu/,,New York,"The Lifschultz Organization is a conglomerate of companies founded by David B. Lifschultz in 1899. The Lifschultz Organization has interests in real estate, investing, energy, and investments in cutting edge disruptive technologies. With over a 116 years of experience we have been successfully investing in a wide range of fields. With larger fortunes it’s more difficult to ensure proper oversight and risk management, to develop clear objectives, for long term preservation, growth and control of our wealth. We look for broad-gauged opportunities which perform far reaching economic services. The Lifschultz Organization serves as the principle vehicle for the Lifschultz Family’s business ventures and investments within Europe, the United States, Asia, and other regions of the world.",Nada,,
Park Sutton,NYC,"$500,000,000.00 ",,https://parksuttonadvisors.com,,New York,"Park Sutton works with owners and management teams of RIAs, Broker-Dealers, FinTech companies and other financial services companies to maximize shareholder value when selling a company, making acquisitions, raising capital, implementing an internal succession, and other strategic planning initiatives.",,,
Innovating Capital,NYC,"$450,000,000.00 ",,https://innovating.capital/,,New York,"Innovating Capital is a premier asset fund investing in the next frontier of early, growth, and lower middle market stage companies. It specializes in buy-and-build and incubation strategies across disruptive sectors and cutting-edge technologies with a focus on Enterprise Infrastructure, Digital Health, Manufacturing, Cybersecurity, Insurance, and Financials.",,,
Warren Street Capital,NYC,"$400,000,000.00 ",,https://www.warrenstreetcap.com/,,New York,"Warren Street Capital is a closely-held investment firm based in New York. We invest in a range of asset classes including public equities, small private businesses, search-funds and hedge funds.",,,
ATM Capital Partners LLC,NYC,"$386,000,000.00 ",,http://atmcap.com/,,New York,"ATM Capital Partners LLC is a small family office focused on investment in real assets in the US and direct investment in private equity in China through its affiliate, Jade Capital Management LLC.",,,
Slifka Asset Management,NYC,"$370,000,000.00 ",https://www.linkedin.com/in/randy-slifka-98782b6/,https://slifka.com,,New York,"Family office focused on investing in Private Equity, VC, Hedge Funds, and alternative assets broadly since 1983.",2nd Tier Connections,,
Urban Spring Capital,NYC,"$350,000,000.00 ",https://www.linkedin.com/in/jack-ezra-194846101/,http://www.urbanspringcapital.com/home.html,,New York,"Urban Spring Capital (USC) began as the investment arm of Ezrasons Inc., a family business now four generations in NY. Previously known as Cattan Holdings, USC has grown its portfolio and now manages equity and assets for both family and close associates. Since inception, USC continuously seeks out new opportunities and business partners and looks forward to continuing a legacy of good business and success.",Nada,,
The Laughren Group,NYC,"$300,000,000.00 ",https://www.linkedin.com/search/results/all/?keywords=The%20Laughren%20Group&sid=ugq,https://N/A,,New York,"NYC-based SFO established in 2005. Primary interest are in direct investments and co-investments in private equity, venture capital and private debt. Focus on US opportunities and some international jurisdictions.",2nd Tier Connections,,
First Haven Capital,NYC,"$300,000,000.00 ",,https://firsthaven.com/,,New York,"First Haven Capital (“First Haven”) is a private investment firm based in New York. Through its direct investment program, the firm targets non-control equity investments in leading lower middle market companies in partnership with high quality investment sponsors. As an affiliate of the Turtle Creek family office, First Haven maintains a flexible, patient capital base that can invest for long hold periods and support future growth needs. By utilizing the firm’s broader investment network and industry contacts, we can effectively evaluate opportunities and provide additional support required to build successful business platforms. Our team members’ significant direct investing experience enables them to be highly responsive, resourceful and insightful partners. In addition to its direct investment strategy, First Haven is an institutional allocator to third-party fund managers. First Haven provides its investors with a targeted bespoke asset allocation, utilizing best-in-class long-only and alternative money managers.",,,
JOIA Investments,NYC,"$250,000,000.00 ",https://www.linkedin.com/company/joia-investments-llc/,https://www.linkedin.com/company/joia-investments-llc/,,New York,"Family office with a two decade history and a broad appetite for trading talent. We invest in CTAs and Hedge Funds at all life cycle stages, from emerging to well established.",Nada,,
RCap LLC,NYC,"$250,000,000.00 ",,https://n/a,,New York,Rubin Family office,,,
Colibri Equity Ventures,NYC,"$250,000,000.00 ",,https://colibriequity.vc/,,New York,Colibri Equity Ventures is a single-family office with a broad mandate to invest in alternative assets.,,,
10 East,NYC,"$250,000,000.00 ",https://www.linkedin.com/company/10east/people/,https://app.10east.co/,"CIO connected to lots of GPs, also connected to Bohannon. Reaching out to him about my trip shortly.
",New York,"10 East is a membership-based investment firm founded by Michael Leffell, former Deputy Executive Managing Member of Davidson Kempner, focused on providing targeted exposure to private markets. Members invest at their discretion in single-investment and niche fund vehicles across private credit, real estate, private equity, and venture capital.",1st Tier Connections,JT,
Partners Path,NYC,"$250,000,000.00 ",,http://www.partnerspath.com/,,Brooklyn,"Partners Path is a private family office that seeks opportunities offering attractive risk-adjusted returns. Partners Path invests on behalf of a small group of ultra-high net worth individuals. We are primarily focused on multifamily and mixed use real estate in core urban markets across the United States, with current holdings in New York, Los Angeles, San Francisco, Boston, and Washington D.C. Partners Path also invests in select venture capital and private equity opportunities.",,,
LoPresti Law Group,NYC,"$250,000,000.00 ",,https://www.linkedin.com/in/marclopresti/,,New York City,"LoPresti Law Group, P.C. is a leading corporate and securities law firm providing comprehensive legal solutions to clients around the globe.",,,
Untracht Early LLC,NYC,"$250,000,000.00 ",,https://www.untracht.com,,Florham Park,"Committed to delivering proficiency through our core accounting, tax, assurance, and consulting services",,,
"Friedman, Kaplan, Seiler, & Adelman, LLP",NYC,"$250,000,000.00 ",,https://www.fklaw.com/practices-Family-Office.html,,New York City,Friedman Kaplan’s Family Office practice has grown organically over the years as many of our high-net-worth clients have asked us to provide advice to them concerning their personal interests after having worked with us in their professional capacities.,,,
Wilkin & Gluttenplan PC,NYC,"$250,000,000.00 ",,https://www.wgcpas.com/family-office-service/,,East Brunswick,"Wilkin & Guttenplan, P.C. is an accounting firm operating in East Brunswick, New Jersey.",,,
"Dorfman, Mizrach & Thaler LLC",NYC,"$250,000,000.00 ",,http://www.dmtcpas.com,,Iselin,"Dorfman Mizrach & Thaler, LLP offers a full range of services to relieve high-net-worth individuals of the administrative responsibilities associated managing their finances.",,,
Equable Capital,NYC,"$250,000,000.00 ",,https://www.equablecapital.com/,,New York,"Equable Capital was founded by Jonathan Smidt, a former partner at KKR. Equable’s assets come from Jonathan and closely aligned investors, who are personally engaged and committed to each investment opportunity. Equable Capital’s investment strategy is founded on patient partnerships with management and key shareholders in pursuit of the long-term success of each business in which Equable invests. Subject to Equable Capital’s Investment Guidelines, Equable seeks to invest between $5 million and $50 million in a single business, or a portfolio of businesses, with $2 million to $15 million of EBITDA. Equable Capital is equally comfortable being an outright or controlling acquirer of a business or a minority growth investor, although in all cases Jonathan will collaborate closely with management teams to build sustainable value for all shareholders. As a sophisticated and experienced financial partner, Equable Capital is ideally suited to companies seeking new investment to refresh their capitalization tables or to finance growth, whether organic or acquisitive. Furthermore, Equable is an ideal partner for enterprises that will value its hands-on approach. Jonathan’s goal is to add value to companies by combining management’s operational prowess with his relevant experience and extensive network. Long term success of a business is enhanced through a focus on the key value drivers of the business, disciplined capital investment that achieves an acceptable risk adjusted rate of return and a focused acquisition and divestiture strategy. It has also become increasingly important for companies to have a proactive and considered approach to how they interact with their stakeholders. These are all areas where Jonathan can be a value-added partner",,,
SBP Management,NYC,"$250,000,000.00 ",,http://www.sbpmgmt.com,,New York,"SBP Management is a family office focused on five asset classes: direct funds & co-investments, long/short equity, credit, and special situations (mergers and acquisitions, distressed debt, etc.). We initiate positions through open market transactions, IPO and follow-on offering allocations, and private investments in public equities.",,,
M&J Capital Partners,NYC,"$250,000,000.00 ",,http://www.mjcpllc.com/,,New York,"M&J Capital Partners is a vertically integrated real estate development company, and single family office used to grow and preserve the assets of the Leone family. The company's activities also include private credit and equity investing in commercial real estate and operating companies that have high cash on cash return potential. The company was formed to create sustainable growth through financing GP co-investment requirements or acquiring LP stakes in assets that provide opportunities to leverage the family's expertise in managing corporate turnarounds, commercial construction, and financial market risks. M&J's investment process is rigorous and data-driven. We provide flexible capital and acquire interests in high cash flow opportunities and special situations. The company primarily invests in high quality, class A or B real assets, preferably in a path of demographic progress as demonstrated by geographic information systems. We consider investments within the United States and seek to achieve a 6-10% unleveraged cash on cash return and invest in opportunities where value creation pathways exist. Historically the family has invested in commercial development opportunities, value add multi-family, self- storage, warehouse, flex space, retail centers, NNN leases, and specific operating companies. If you have an investment opportunity that fits our mandate, please contact us.",,,
Mount Cuba Capital,NYC,"$250,000,000.00 ",,http://www.mountcuba.com/,,New York,"Mount Cuba Capital serves as a principal investment office for Ryan Bonifacino managing an existing portfolio of LP positions in alternative investment funds and innovative early stage companies and respective venture funds. The Mount Cuba team was formed in 2008 following a media exit and strengthened in 2016 as a result of a consumer exit. Our primary objectives are to manage existing portfolios, including secondaries, along with the identification and diligence of new investment opportunities.",,,
sutton,NYC,"$250,000,000.00 ",,https://N/a,,New York,"-Cheltenham Enterprises is a single family Family Office seeking to invest opportunistically primarily in real estate. We will invest in other hard assets such aircraft/vessels, equipment, rolling stock, inventory, and cash flow based contract rights • Cheltenham provides senior secured loans • Cheltenham will also structure mezzanine or preferred equity allowing the capital seeker to reap the benefits of his/her projections. We prefer to protect our downside and seek a minimum of 15% IRR. Depending in the investment and our assessment of risk/reward we will make equity investments either as a GP investor, JV partner, and in limited instances LP. • As an entity, we tend to invest $1-$15 million dollars but depending on the investment we have the capability to invest more by partnering with other family offices. • Cheltenham Enterprises welcomes other family offices to co-invest directly in our investments or we will co-invest in other investments.",,,
,NYC,"$250,000,000.00 ",https://www.linkedin.com/company/witter-family-office/people/,https://witter.nyc/,,New York,"The Witter Family Office consists of two parts. One focuses on wealth generation while the other deals with philanthropic giving. Sherry P. Witter is responsible for the deployment of investment capital and wealth expansion, while Michael D. Witter, Dean Witter's grandson, spearheads the philanthropy arm. Please send trading strategies and investment proposals to the following email: admin@witter.nyc",Nada,,
The New York Family Office,NYC,"$250,000,000.00 ",,http://www.tnyfo.com/?lang=en,,New York City,The New York Family Office is a multi-family office specialized in providing qualified professional services to assist German-speaking families in all family affairs and to safeguard their investments in the U.S. and Canada. Our clientele predominantly resides in Europe.,,,
"FFO, LLC",NYC,"$250,000,000.00 ",,https://www.ffollc.com/,,New York City,"Headquartered in New York, FFO is the premier family office and business management company serving ultra-wealthy individuals, families and their advisors. FFO solutions bridge financial and lifestyle objectives, allowing our clients to more fully enjoy the benefits of exceptional wealth. FFO combines unmatched technical expertise with the highest standards for privacy and discretion, working with dynamic and sophisticated clients including billionaires, entrepreneurs, investment managers, athletes, artists and entertainers.",,,
Covepoint Capital Advisors,NYC,"$250,000,000.00 ",,http://www.covecap.com/index.html,,New York,"Covepoint is a family office founded by Melissa Ko and is focused on investing in currencies, interest rates and other macro asset classes. The firm combines a blend of trading experience with a robust research approach that focuses on the interactions between developed and emerging markets.",,,
Cedar Legacy,NYC,"$200,000,000.00 ",,https://www.cedarlegacy.com/,,New York,Cedar Legacy is a family office that holds and manages a global portfolio of investments across a broad range of asset classes in public and private markets. Cedar Legacy is based in New York City.,,,
SAFO Investment Company,NYC,"$200,000,000.00 ",,https://N/A,,New York,"Multi-billion dollar, impact-oriented, single family office investing across all asset classes",,,
Horizon Point Capital,NYC,"$200,000,000.00 ",,https://www.horizonpoint.com/,,New York,"Horizon Point Capital (“HPC”) is the private investment arm of a family office that traces its roots back to 1946. We focus on investing in lower-middle-market companies and make both control and minority investments. In all cases, we look to form enduring partnerships and support growth-oriented initiatives over a long-term time horizon. Our team has extensive investing and operating experience, which supports a highly flexible investment approach. Since inception, HPC has made investments across a wide range of industries, including business services, food & beverage, consumer products and software. The companies we have partnered with include everything from innovative start-ups looking to expand in emerging verticals to mature companies looking to accelerate their next phase of growth. Regardless of investment size or structure, we pride ourselves on rolling up our sleeves and working hard alongside exceptional teams to realize ambitious long-term goals. Where needed, we are happy to step into executive roles and help manage day-to-day operations.",,,
Double18 Capital,NYC,"$200,000,000.00 ",,https://double18cap.com/,,New York,"Double18 invests in growth stage companies in the technology, healthcare, and energy sectors. With dramatic disruption occurring in these industries, the opportunities for out-sized investment gains are great. Double18’s focus is on the companies that are creating and providing products and services that will drive the next generation of revenues. We partner with our portfolio’s management to add and accelerate value. With our experience and networks we are able to help scale businesses and move quickly. We believe that the most valuable companies will be those that can deliver returns through growth and not merely financial engineering or leverage. By supporting smart, energetic and motivated executives, Double18 delivers results for all stakeholders. Double18 distinguishes itself by its willingness to work with first time management teams who have the ability to execute together with the experience that Double18 provides.",,,
Leo Capital Management,NYC,"$200,000,000.00 ",,https://www.leocapitalmanagement.com/,,New York,"We hold allocations in public and private equity, direct investments, commercial real estate, and other alternative asset classes. Our mandate is to responsibly grow capital. Our generalist and flexible approach and long-term capital allow us to invest in opportunities across the board, and our experience in operating businesses allows us to identify companies that have established or expanding competitive advantages. Our long-only equity portfolio reflects companies that have durable competitive and / or technological advantages. Our experience as operators of an American distribution business allows us to have unique operator-oriented insights into industrial property investments across the United States. We seek to invest in quality industrial real estate in select American gateway markets, including the New York City, Los Angeles, Houston, and Miami metropolitan areas. We seek to acquire hotels in major urban (top-25) U.S. markets, including the New York City, Washington, D.C., and Florida markets.",,,
Nima Capital LLC,NYC,"$200,000,000.00 ",,http://nimacap.com/,,New York,"Nima Capital, a single-family office with private and public equity investing platforms. The firm has a flexible mandate to invest across the capital structure, across investment stage and in any industry vertical.",,,
NextPoint SFO,NYC,"$200,000,000.00 ",,http://www.nextpointvc.com/,,New York,"NextPoint, a multi-generational single family office.",,,
Montague Street Private Partners,NYC,"$200,000,000.00 ",,https://www.montaguestreetprivatepartners.com/,,New York,"MSPP is the private equity strategy of the Greenblatt Family Office, focused on finding businesses in the business services sector, to operate and grow. We are long term, thesis based investors, focused on growth industries poised to benefit from macro trends and withstand all economic environments. We are different than private equity in that we provide flexibility and long term commitment to all of our investments. We are proven growth operators committed to bringing our operational knowledge to all of our portfolio companies each and everyday. We believe in building businesses that will last, which is why we have a preference for ""must have services"" with track records of recurring revenue, revenue growth and profitability. At MSPP, we search for businesses in fragmented industries, as we believe our operational and acquisition experience will allow us to gain market share.",,,
Millbrook Capital Management Inc.,NYC,"$200,000,000.00 ",,http://www.millcap.com/,,New York,"Millbrook Capital Management is a lower middle-market private equity firm investing in buyouts on behalf of John S. Dyson, his family and MCM employees MCM is focused on being a long-term capital partner for management with an industry focus in: Manufacturing, Business Services, Agriculture & Wine MCM has been making highly selective direct investments since 1981 with over forty completed buyout transactions with entirely principal capital.",,,
Leonite Capital,NYC,"$200,000,000.00 ",,http://leonitecap.com/,,Spring Valley,"The firm is diversified with extensive holdings in real estate (multifamily, mixed use, parking), venture capital, private equity (both direct and managed portfolios), public equities (with a focus on small-cap and micro-cap public companies), alternative lending, and hedge funds. Leonite abides by a strict set of governing principles. We do not believe that low risk necessitates low return, and we are not afraid to get involved in ""unpopular"" industries. We avoid crowded positions, as we have found that opportunities lie in shunned and undiscovered fringes of the market. Our venture capital investments have grown to be a core focus and we are currently focused on early stage opportunities in the US, Canada and Australia.",,,
Hysek Group LLC,NYC,"$200,000,000.00 ",,https://n/a,,New York,"The Hysek Group is the private investment office for the Hysek family. Hysek, as a single family office under the leadership of two generations as well as seasoned investment professionals, has had 30+ years of success as entrepreneurs across various sectors in Europe, North America, the Middle East, Asia, and Latin America. Investment Criteria The Hysek Group has the interest and capability to invest in a wide range of industries. We take a highly disciplined approach to investing, asset allocation, and typically pursue the following opportunities: -Non-Control equity investments: Minimum of $10-$15 million per deal. -Private placements and non-control equity investments in private companies. Substantial, either as sole investor or with like-minded family offices with whom we have co-invested in the past.",,,
